id,generico_id,grupo_insumo_id,created_at,updated_at,deleted_at
320,320,6,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
321,321,6,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
322,322,6,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
323,323,6,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
324,324,6,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
325,325,6,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
326,326,6,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
327,327,6,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
328,328,6,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
329,329,6,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
330,330,6,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
331,331,6,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
332,332,6,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
333,333,6,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
334,334,6,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
335,335,6,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
336,336,6,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
337,337,6,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
338,338,6,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
339,339,6,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
340,340,6,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
341,341,6,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
342,342,6,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
343,343,6,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
344,344,6,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
345,345,6,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
346,346,6,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
347,347,6,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
348,348,6,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
349,349,6,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
350,350,6,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
351,351,6,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
352,352,6,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
353,353,6,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
354,354,6,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
355,355,6,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
356,356,6,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
357,357,6,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
358,358,6,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
359,359,6,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
360,360,6,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
361,361,6,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
362,362,6,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
363,363,6,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
364,364,6,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
365,365,6,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
366,366,6,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
367,367,6,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
368,368,7,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
369,369,7,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
370,370,7,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
371,371,7,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
372,372,7,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
373,373,7,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
374,374,7,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
